Gene1	Gene2
ABL1	PTPN6
ABL1	RAD21
ABL1	RAD51
ABL1	RAD9A
ABL1	RAN
ABL1	RB1
ABL1	RDBP
ABL1	RFX1
ABL1	RYBP
ABL1	SETDB1
ABL1	SH3BP1
ABL1	SHC1
ABL1	SHD
ABL1	SHE
ABL1	SIRT6
ABL1	SLC9A2
ABL1	SMARCA4
ABL1	SMARCB1
ABL1	SMC3
ABL1	SORBS1
ABL1	SORBS2
ABL1	SOS1
ABL1	SPTA1
ABL1	SPTAN1
ABL1	SRC
ABL1	ST5
ABL1	STAT1
ABL1	STK4
ABL1	TERF1
ABL1	TOPBP1
ABL1	TP53
ABL1	TP73
ABL1	TRIM28
ABL1	TUB
ABL1	UBC
ABL1	USF2
ABL1	VAV1
ABL1	XRCC4
ABL1	XRCC6
ABL1	YTHDC1
ABL1	ZAP70
ABL1	ZBTB33
ABL1	ZDHHC16
ABL1	ZNF263
ABL1	ZNF274
ABL2	C11ORF9
ABL2	CAMKK1
ABL2	CAT
ABL2	CBL
ABL2	CHGB
ABL2	CMTM2
ABL2	CSRP1
ABL2	CSRP3
ABL2	EPHB2
ABL2	EXOSC7
ABL2	HLCS
ABL2	JAK1
ABL2	KHDRBS1
ABL2	LAS1L
ABL2	LOC51035
ABL2	LRRFIP1
ABL2	MAP3K10
ABL2	MTA1
ABL2	OTUD7B
ABL2	PAGE4
ABL2	PDCD5
ABL2	POLD4
ABL2	POP7
ABL2	PROSAPIP1
ABL2	RBPMS
ABL2	RUVBL1
ABL2	SORBS2
ABL2	SPAG7
ABL2	STAT3
ABL2	TBX20
ABL2	WDR45L
ABL2	ZDHHC5
ABL2	ZNF428
ABLIM1	BEGAIN
ABLIM1	CALCOCO2
ABLIM1	GOLGA2
ABLIM1	HOOK2
ABLIM1	KCNJ12
ABLIM1	KRT15
ABLIM1	LDOC1
ABLIM1	SFN
ABLIM1	SREBF2
ABLIM1	STAT3
ABLIM1	TRAF2
ABLIM1	TSC22D4
ABLIM1	USHBP1
ABLIM1	VIM
ABLIM2	CEBPB
ABLIM2	SREBF2
ABLIM2	ZNF143
ABLIM3	ACTC1
ABLIM3	FOS
ABLIM3	PAX5
ABP1	AGMAT
ABP1	AKR1B1
ABP1	AKR1B10
ABP1	ALDH1A3
ABP1	ALDH1B1
ABP1	ALDH2
ABP1	ALDH3A1
ABP1	ALDH7A1
ABP1	ALDH9A1
ABP1	AOC2
ABP1	AOC3
ABP1	DDC
ABP1	GLO1
ABP1	GRHPR
ABP1	HDC
ABP1	HSD3B7
ABP1	ODC1
ABP1	RDH11
ABP1	RDH12
ABP1	RDH13
ABP1	RDH14
ABP1	SAT1
ABP1	SAT2
ABP1	SRM
ABP1	TYR
ABR	CTCF
ABT1	ATF3
ABT1	CEBPB
ABT1	EP300
ABT1	GTF2B
ABT1	SPI1
ABTB1	DNTTIP1
ABTB2	CUL3
ABTB2	DNTT
ABTB2	EEF1A1
ABTB2	RAD21
ABTB2	RBX1
ABTB2	UBC
ACAA1	ACAA2
ACAA1	ACACA
ACAA1	ACACB
ACAA1	ACADM
ACAA1	ACAT1
ACAA1	ACAT2
ACAA1	ACLY
ACAA1	ACOT12
ACAA1	ACOX1
ACAA1	ACOX3
ACAA1	ACSS1
ACAA1	ACSS2
ACAA1	AKR1B10
ACAA1	ALDH6A1
ACAA1	BAAT
ACAA1	CS
ACAA1	DLAT
ACAA1	ELOVL6
ACAA1	FASN
ACAA1	HADH
ACAA1	HADHA
ACAA1	HADHB
ACAA1	HMGCL
ACAA1	HMGCS1
ACAA1	HMGCS2
ACAA1	HSD17B10
ACAA1	HSD17B4
ACAA1	HSD3B7
ACAA1	MLYCD
ACAA1	PCCA
ACAA1	PCCB
ACAA1	RDH11
ACAA1	RDH12
ACAA1	RDH13
ACAA1	RDH14
ACAA1	SLC27A5
ACAA1	SPI1
ACAA2	ACACA
ACAA2	ACACB
ACAA2	ACADM
ACAA2	ACADS
ACAA2	ACAT1
ACAA2	ACAT2
ACAA2	ACLY
ACAA2	ACOT12
ACAA2	ACOX1
ACAA2	ACOX3
ACAA2	ACSM1
ACAA2	ACSS1
ACAA2	ACSS2
ACAA2	AKR1B10
ACAA2	ALDH6A1
ACAA2	BAAT
ACAA2	CS
ACAA2	DLAT
ACAA2	ELOVL6
ACAA2	FASN
ACAA2	HADH
ACAA2	HADHA
ACAA2	HADHB
